Product_Description,Product_Category,Predicted_Category
Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,home & kitchen
Nest Cam Outdoor Security Camera - USA,Nest-USA,home & kitchen
Nest Protect Smoke + CO White Battery Alarm-USA,Nest-USA,home & kitchen
Nest Cam Indoor Security Camera - USA,Nest-USA,home & kitchen
Nest Protect Smoke + CO White Wired Alarm-USA,Nest-USA,home & kitchen
Nest Protect Smoke + CO Black Battery Alarm-USA,Nest-USA,home & kitchen
Nest Protect Smoke + CO Black Wired Alarm-USA,Nest-USA,home & kitchen
Google Laptop and Cell Phone Stickers,Office,office
Maze Pen,Office,office
Galaxy Screen Cleaning Cloth,Office,office
Badge Holder,Office,office
Ballpoint LED Light Pen,Office,office
Color Changing Grip Pen,Office,office
Colored Pencil Set,Office,office
Spiral Notebook and Pen Set,Office,office
Android Sticker Sheet Ultra Removable,Office,office
YouTube Custom Decals,Office,office
Switch Tone Color Crayon Pen,Office,office
Leatherette Journal,Office,office
Google Doodle Decal,Office,office
YouTube Leatherette Notebook Combo,Office,office
Red Spiral Google Notebook,Office,office
8 pc Android Sticker Sheet,Office,office
Retractable Ballpoint Pen Red,Office,office
Rubber Grip Ballpoint Pen 4 Pack,Office,office
Google Metallic Notebook Set,Office,office
Gel Roller Pen,Office,office
Pen Pencil & Highlighter Set,Office,office
Recycled Paper Journal Set,Office,office
Ballpoint Stick Pen 4 Pack,Office,office
Google Ballpoint Pen Black,Office,office
Ballpoint Stylus Pen,Office,office
Four Color Retractable Pen,Office,office
Ballpoint Pen Blue,Office,office
Google Stylus Pen w/ LED Light,Office,office
Gunmetal Roller Ball Pen,Office,office
Ballpoint Pen & Matching Tube Case,Office,office
Android Journal Book Set,Office,office
Keyboard DOT Sticker,Office,office
Rainbow Stylus Pen,Office,office
Grip Highlighter Pen 3 Pack,Office,office
YouTube Notebook and Pen Set,Office,office
Executive Twist Ballpoint Pen,Office,office
Metal Texture Roller Pen,Office,office
Leather and Metal Ballpoint Pen,Office,office
Satin Black Ballpoint Pen,Office,office
Google Men's 100% Cotton Short Sleeve Hero Tee Black,Apparel,apparel
