Product_Description,Product_Category,Predicted_Category
Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,home & kitchen
Nest Cam Outdoor Security Camera - USA,Nest-USA,"tv, audio & cameras"
Nest Protect Smoke + CO White Battery Alarm-USA,Nest-USA,home & kitchen
Nest Cam Indoor Security Camera - USA,Nest-USA,"tv, audio & cameras"
Nest Protect Smoke + CO White Wired Alarm-USA,Nest-USA,home & kitchen
Nest Protect Smoke + CO Black Battery Alarm-USA,Nest-USA,home & kitchen
Nest Protect Smoke + CO Black Wired Alarm-USA,Nest-USA,"tv, audio & cameras"
Google Laptop and Cell Phone Stickers,Office,office
Maze Pen,Office,office
Galaxy Screen Cleaning Cloth,Office,"tv, audio & cameras"
Badge Holder,Office,home & kitchen
Ballpoint LED Light Pen,Office,office
Color Changing Grip Pen,Office,office
Colored Pencil Set,Office,home & kitchen
Spiral Notebook and Pen Set,Office,office
Android Sticker Sheet Ultra Removable,Office,office
YouTube Custom Decals,Office,office
Switch Tone Color Crayon Pen,Office,office
Leatherette Journal,Office,office
Google Doodle Decal,Office,office
YouTube Leatherette Notebook Combo,Office,office
Red Spiral Google Notebook,Office,office
8 pc Android Sticker Sheet,Office,office
Retractable Ballpoint Pen Red,Office,office
Rubber Grip Ballpoint Pen 4 Pack,Office,office
Google Metallic Notebook Set,Office,office
Gel Roller Pen,Office,office
Pen Pencil & Highlighter Set,Office,office
Recycled Paper Journal Set,Office,office
Ballpoint Stick Pen 4 Pack,Office,office
Google Ballpoint Pen Black,Office,office
Ballpoint Stylus Pen,Office,office
Four Color Retractable Pen,Office,office
Ballpoint Pen Blue,Office,office
Google Stylus Pen w/ LED Light,Office,office
Gunmetal Roller Ball Pen,Office,office
Ballpoint Pen & Matching Tube Case,Office,office
Android Journal Book Set,Office,office
Keyboard DOT Sticker,Office,music
Rainbow Stylus Pen,Office,office
Grip Highlighter Pen 3 Pack,Office,office
YouTube Notebook and Pen Set,Office,office
Executive Twist Ballpoint Pen,Office,office
Metal Texture Roller Pen,Office,office
Leather and Metal Ballpoint Pen,Office,office
Satin Black Ballpoint Pen,Office,office
Google Men's 100% Cotton Short Sleeve Hero Tee Black,Apparel,apparel
Google Men's Short Sleeve Hero Tee Heather,Apparel,apparel
Google Women's Yoga Jacket Black,Apparel,apparel
YouTube Men's Fleece Hoodie Black,Apparel,apparel
YouTube Men's Short Sleeve Hero Tee Black,Apparel,apparel
Google Men's 100% Cotton Short Sleeve Hero Tee Red,Apparel,apparel
Google Women's Short Sleeve Hero Tee White,Apparel,apparel
Google Women's Quilted Insulated Vest Black,Apparel,apparel
Google Men's Bike Short Sleeve Tee Charcoal,Apparel,apparel
Google Men's 100% Cotton Short Sleeve Hero Tee Navy,Apparel,apparel
Google Women's Short Sleeve Hero Tee Black,Apparel,apparel
Google Women's Short Sleeve Hero Tee Sky Blue,Apparel,apparel
Google Women's Short Sleeve Hero Tee Red Heather,Apparel,apparel
Google Men's Pullover Hoodie Grey,Apparel,apparel
Google Youth Short Sleeve T-shirt Royal Blue,Apparel,apparel
Google Youth Short Sleeve T-shirt Green,Apparel,apparel
Google Women's Lightweight Microfleece Jacket,Apparel,apparel
Android Men's Short Sleeve Tri-blend Hero Tee Grey,Apparel,apparel
Android Men's Vintage Tee,Apparel,apparel
Google Men's Short Sleeve Performance Badge Tee Pewter,Apparel,apparel
Google Men's Vintage Badge Tee White,Apparel,apparel
Google Men's Quilted Insulated Vest Battleship Grey,Apparel,apparel
YouTube Men's Long Sleeve Pullover Badge Tee Heather,Apparel,apparel
Google Men's Microfiber 1/4 Zip Pullover Grey/Black,Apparel,apparel
